Species,Region,Locality,Sex,Date,Ecology,Collector,Collection 
Bombus terrestris,,"Banks Peninsula, Prices Valley",f,,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,,,
Bombus terrestris,MC,Lakeside,,20/05/69,Nest (dead),,
Bombus terrestris,MC,Lakeside,m,20/05/69,"Nest, dead",,
Bombus terrestris,MC,Lakeside,m,20/05/69,Nest,,
Bombus terrestris,TO,Piriaka,f,14/10/69,Dead at beehive entrance,,
Bombus terrestris,TO,Taupo,f,15/10/69,,,
Bombus terrestris,TO,Taupo town,f,15/10/69,Rhododendron ponticum (red),,
Bombus terrestris,TO,Piriaka,f,16/10/69,On flowering cherry,,
Bombus terrestris,TO,Piriaka,f,16/10/69,On flowering cherry,,
Bombus terrestris,TO,Piriaka,,16/10/69,On flowering cherry,,
Bombus terrestris,MC,"Christchurch, Allister Avenue",,28/11/69,Centaurea sp.,,
Bombus terrestris,MC,"Christchurch, Allister Avenue",,28/11/69,Centaurea sp.,,
Bombus terrestris,MC,"Christchurch, Allister Avenue",,28/11/69,Centaurea sp.,,
Bombus terrestris,KA,Conway Flats,,29/11/69,,,
Bombus terrestris,KA,Conway Flats,,29/11/69,Lucerne flowers,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest in hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest in hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest among hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest among hay,,
Bombus terrestris,MC,Riccarton,m,30/01/70,Nest among hay,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Christchurch, Tuam St",f,06/02/70,Dead in nest,,
Bombus terrestris,MC,"Springfield, 43km NW",,06/02/70,,,
Bombus terrestris,MC,"Christchurch, 463 Tuam St.",,06/02/70,,,
Bombus terrestris,MC,"Christchurch, 463 Taum Street",m,06/02/70,Dead in nest,,
Bombus terrestris,MK,"Mt Cook, near",,10/02/70,,,
Bombus terrestris,MK,"Mt Cook, near",,10/02/70,,,
Bombus terrestris,MK,"Mt Cook, near",,10/02/70,,,
Bombus terrestris,MK,"Mt Cook, near",,10/02/70,,,
Bombus terrestris,SI,"Stewart Island, Freshwater River",,18/02/70,,,
Bombus terrestris,SI,"Stewart Island, Freshwater River",,18/02/70,,,
Bombus terrestris,SI,"Stewart Island, Freshwater River",,18/02/70,,,
Bombus terrestris,SI,"Stewart Island, Freshwater River",m,18/02/70,,,
Bombus terrestris,SI ,Stewart Island ,,18/02/70,,,
Bombus terrestris,SI ,Stewart Island ,,18/02/70,,,
Bombus terrestris,MC,"Flock Hill, 3.2km east",m,08/03/70,,,
Bombus terrestris,MC,"Flock Hill, 3.2km east",m,08/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,,Mackenzie Basin,,13/03/70,,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,MC,Lincoln,m,18/03/70,Cirsium vulgare,,
Bombus terrestris,KA,Conway Flats,,08/11/70,On manuka (nectar) Leptospermum scoparium,,
Bombus terrestris,KA,"Kaikoura Co., South Bay",f,11/11/70,,,
Bombus terrestris,KA,Oaro,f,09/12/70,,,
Bombus terrestris,KA,"Kaikoura Co., South Bay",f,11/12/70,,,
Bombus terrestris,KA,Seddon,f,11/12/70,,,
Bombus terrestris,KA,Ward,f,21/12/70,,,
Bombus terrestris,KA,Ward,f,21/12/70,,,
Bombus terrestris,KA,Conway Flats,,Feb-71,From artificial nest boxes,,
Bombus terrestris,KA,Conway Flats,,Feb-71,From artificial nest boxes,,
Bombus terrestris,KA,Conway Flats,,Feb-71,From artificial nest boxes,,
Bombus terrestris,KA,Conway Flats,,Feb-71,From artificial nest boxes,,
Bombus terrestris,KA,Conway Flats,,Feb-71,From artificial nest boxes,,
Bombus terrestris,,,m,Feb-71,Artificial nest boxes,,
Bombus terrestris,,,m,Feb-71,Artificial nest boxes,,
Bombus terrestris,,South Island,m,Feb-71,Artificial nest boxes,,
Bombus terrestris,,South Island,m,Feb-71,Artificial nest boxes,,
Bombus terrestris,,,m,Feb-71,From artificial nest boxes,,
Bombus terrestris,,South Island,m,06/02/71,Artificial nest boxes,,
Bombus terrestris,,South Island,m,06/02/71,Artificial nest boxes,,
Bombus terrestris,MC,Greenpark,m,03/03/71,Dahlia,,
Bombus terrestris,MC,Greenpark,m,03/03/71,Dahlia,,
Bombus terrestris,MC,Greenpark,m,03/03/71,Scotch thistle,,
Bombus terrestris,MC,Landsdowne Valley,m,03/03/71,Scotch thistle,,
Bombus terrestris,KA,Seddon,m,12/09/71,"Medicago sativa, Alfalfa",,
Bombus terrestris,MK,"Ben Ohau Station, Lake Pukaki",f,17/02/72,,,
Bombus terrestris,,"Mackenzie Basin, Ben Ohau Station, Lake Pukaki",,17/02/72,,,
Bombus terrestris,MC,West Melton,,01-Jan-73,Visiting flowers Notospartium carmichaeliae,,
Bombus terrestris,MC,"Christchurch, Redwood",f,02/02/73,Dead in nest opened at Lincoln,,
Bombus terrestris,CO,Old Man Range,,22/02/73,On van window,,
Bombus terrestris,, ,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,,,,22/02/73,,,
Bombus terrestris,MC,Lincoln,f,21/03/74,From nest started in bee box? tree lucerne area,,
Bombus terrestris,MC,Christchurch City,m,04/11/74,Ex nest,,
Bombus terrestris,NC,Waiau,f,08/10/75,,,
Bombus terrestris,NC,Waiau,f,08/10/75,,,
Bombus terrestris,NC,Rotherham,f,20/11/75,,,
Bombus terrestris,MC,Halswell,,20/02/76,,,
Bombus terrestris,MC,Halswell,,20/02/76,,,
Bombus terrestris,KA,Molesworth Saxton Pass Rd. marsh,,23/03/76,,,
Bombus terrestris,KA,Molesworth Saxton Pass Rd. marsh,m,23/03/76,950m,,
Bombus terrestris,MC,Birdlings Flat,f,08/10/76,On tree lucerne,,
Bombus terrestris,MC,Darfield,f,18/11/76,,,
Bombus terrestris,MB,"Glazebrook, The Forks",,01/03/77,Foraging on beech honeydew,,
Bombus terrestris,,Kaituna Valley,f,05/10/78,,,
Bombus terrestris,MC,Lincoln,,06/10/78,Ex nest,,
Bombus terrestris,MC,Lincoln,,06/10/78,Ex nest,,
Bombus terrestris,MC,Lincoln,m,06/10/78,Ex nest,,
Bombus terrestris,MC,Lincoln,,28/11/78,Ex Bombus nests,,
Bombus terrestris,MC,Lincoln,,28/11/78,Ex Bombus nests,,
Bombus terrestris,MC,Kaituna Valley,,05/12/78,From Bombus terrestris (L.) nest,,
Bombus terrestris,MC,McQueens Valley,,09/01/79,Ex Bombus nests,,
Bombus terrestris,MC,McQueens Valley,,09/01/79,Ex Bombus nests,,
Bombus terrestris,MC,McQueens Valley,,09/01/79,Ex Bombus nests,,
Bombus terrestris,MC,McQueens Valley,m,09/01/79,Ex Bombus nests,,
Bombus terrestris,MC,Lake Selfe,,28/01/79,"St Johns Wort, Hypericum perforatum L.",,
Bombus terrestris,MC,Gebbes Valley,,06/03/80,Ex lucerne,,
Bombus terrestris,MC,Prices Valley,,Mar-81,,,
Bombus terrestris,MC,Prices Valley,,Mar-81,,,
Bombus terrestris,MC,Lincoln,f,27/08/85,Dead outside beehive,,
Bombus terrestris,MC,"Opawa, Christchurch",m,04/02/87,,,
Bombus terrestris,MC,Lincoln,f,17/03/94,Dead outside beehive,,
Bombus terrestris,MC,Lincoln,m,11/01/96,Phacelia tanacetifolia,,
Bombus terrestris,MC,Lincoln,,12/02/98,"Killed by honey bees, outside hive",,
Bombus terrestris,CO,Hawkdun Range,m,12-14/2/1985,"2,400ft",,
Bombus terrestris,CO,Hawkdun Range,f,21-14 Feb 1985,"2,400ft",,
Bombus terrestris,CO,Hawkdun Range,f,21-14 Feb 1985,"2,400ft",,
Bombus terrestris,AK,Motiti Island,f,Sept 1984?,,,
Bombus terrestris,AK,Motiti Island,f,Sept 1984?,,,
Bombus terrestris,AK,Motiti Island,f,Sept 1984?,,,
Bombus terrestris,KA,Seddon,f,x  - ,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Bombus terrestris,,,m,,,,
Hylaeus agilis,SI,"Stewart Is, Marohi",f,1908,,WB Benham,OM
Hylaeus agilis,SL,Southland Greenhills,f,1945,,WG Boyd,Ent A
Hylaeus agilis,SL,Southland Greenhills,f,1945,,WG Boyd,Ent A
Hylaeus agilis,WN,Wellington,m,1984,,,MONZ
Hylaeus agilis,WN,Wellington,m,1984,,,MONZ
Hylaeus agilis,?,Flagstaff,m,12/01/15,,WG Howes,Ent A
Hylaeus agilis,DN,"Peninsula Co, Sandymount",m,07/11/15,Sericops #20,CE Clark,AM
Hylaeus agilis,TK,New Plymouth,f,04/04/17,,,MONZ
Hylaeus agilis,OL,Paradise,m,01/01/20,,,MONZ
Hylaeus agilis,NN,Dun Mt,f,27/01/21,"3000', 900m",A Philpott,Ent A
Hylaeus agilis,WN,"Hutt Co, Day's Bay",m,29/11/21,,JG Myers,Ent A
Hylaeus agilis,NN,Nelson,f,08/12/21,,A Philpott,Ent A
Hylaeus agilis,SC,"Waimate Co, Bluecliffs",m,29/12/21,,CE Clark,AM
Hylaeus agilis,SC,"Waimate Co, Bluecliffs",m,29/12/21,,WG Howes,Ent A
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,WD,Wilburg Range,m,04/02/22,,JW Hende,BJD
Hylaeus agilis,NN,Dun Mt,f,23/01/23,,J Myers,Ent A
Hylaeus agilis,WN,"Karori, Wellington",m,11/11/23,,GV Hudson,NM
Hylaeus agilis,NN,"Waimea Co, Dun Mt.",m,14/11/23,2000' 600m,ES Gourlay,Ent A
Hylaeus agilis,NN,"Waimea Co, Dun Mt.",m,14/11/23,2000' 600m,ES Gourlay,Ent A
Hylaeus agilis,NN,Dun Mt,f,13/01/25,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Dun Mt,f,13/01/25,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,"Waimea Co, Dun Mt.",m,13/01/25,2000' 600m,ES Gourlay,Ent A
Hylaeus agilis,NN,"Waimea Co, Dun Mt.",m,13/01/25,2000' 600m,ES Gourlay,Ent A
Hylaeus agilis,NN,Dun Mt,f,14/02/26,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,f,14/02/26,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Nelson,f,06/05/26,,ES Gourlay,Ent A
Hylaeus agilis,TO,Taupo,f,11/10/27,2000' 600m,JS Armstrong,NZAC
Hylaeus agilis,TO,Taupo,f,11/10/27,2000' 600m,JS Armstrong,NZAC
Hylaeus agilis,NN,Nelson,m,14/10/27,,ES Gourlay,Ent A
Hylaeus agilis,NN,Upper Maitai,m,13/11/27,,ES Gourlay,NZAC
Hylaeus agilis,NN,Upper Maitai,f,13/11/27,,ES Gourlay,NZAC
Hylaeus agilis,NN,Pokororo,f,13/12/27,,ES Gourlay,MONZ
Hylaeus agilis,,Pokororo,m,13/12/27,,ES Gourlay,NZAC
Hylaeus agilis,,Pokororo,m,13/12/27,,ES Gourlay,NZAC
Hylaeus agilis,,Pokororo,f,13/12/27,,ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,f,15/01/28,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Nelson,f,16/12/28,,ES Gourlay,NZAC
Hylaeus agilis,NN,Mt Arthur,f,31/12/28,900m 3000',ES Gourlay,NZAC
Hylaeus agilis,,Tahuna,f,03/02/29,,ES Gourlay,NZAC
Hylaeus agilis,NN,Nelson,f,20/11/29,,ES Gourlay,NZAC
Hylaeus agilis,,,m,20/11/30,Parasites 3/1/1931 emerged in lab,,NZAC
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,WN,Wellington,f,15/01/31,,EM Heine,MONZ
Hylaeus agilis,NN,Dun Mt,f,19/01/31,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,m,25/01/31,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,m,25/01/31,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,m,25/01/31,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,f,25/01/31,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,WN,Wellington,f,13/03/31,,EM Heine,MONZ
Hylaeus agilis,TO,Taupo,f,10/01/32,,JS Armstrong,NZAC
Hylaeus agilis,NN,Nelson,m,14/11/32,,ES Gourlay,P Quinn
Hylaeus agilis,NN,Dun Mt,m,03/01/33,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,m,03/01/33,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,m,03/01/33,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Dun Mt,f,03/01/33,600m 2000',ES Gourlay,NZAC
Hylaeus agilis,NN,Nelson,f,10/03/34,,ES Gourlay,NZAC
Hylaeus agilis,?,Weheka,m,10/05/35,Dead stem of supplejack,OH Swezey,BM
Hylaeus agilis,?,Weheka,m,10/05/35,Dead stem of supplejack,OH Swezey,BM
Hylaeus agilis,?,Weheka,m,10/05/35,Dead stem of supplejack,OH Swezey,BM
Hylaeus agilis,?,Weheka,f,10/05/35,Dead stem of supplejack,OH Swezey,BM
Hylaeus agilis,?,Weheka,f,10/05/35,Dead stem of supplejack,OH Swezey,BM
Hylaeus agilis,WD,Wataroa,f,28/02/48,"No 166, from blackberry stem",,Ent A
Hylaeus agilis,GB,Waikaremoana,m,13/02/49,,MA Lieftinck,Snow. Kansas
Hylaeus agilis,GB,Waikaremoana,m,13/02/49,,MA Lieftinck,Snow. Kansas
Hylaeus agilis,GB,Waikaremoana,f,13/02/49,,MA Lieftinck,Snow. Kansas
Hylaeus agilis,GB,Waikaremoana,f,13/02/49,,MA Lieftinck,Snow. Kansas
Hylaeus agilis,GB,Waikaremoana,f,13/02/49,,MA Lieftinck,Snow. Kansas
Hylaeus agilis,NN,Nelson,f,13/04/53,,ES Gourlay,Ent A
Hylaeus agilis,NN,Nelson,m,13/04/53,,ES Gourlay,Ent A
Hylaeus agilis,TK,Mt Egmont Summit,f,19/01/55,"8000', 2400m, in snow drifts",G Ramsay,Ent A
Hylaeus agilis,TK,Mt Egmont Summit,f,19/01/55,"8000', 2400m, in snow drifts",G Ramsay,Ent A
Hylaeus agilis,TK,Mt Egmont Summit,f,19/01/55,"8000', 2400m, in snow drifts",G Ramsay,Ent A
Hylaeus agilis,TK,Mt Egmont Summit,f,19/01/55,"8000', 2400m, in snow drifts",G Ramsay,Ent A
Hylaeus agilis,TK,Mt Egmont Summit,m,19/01/55,8000' in snowdrift,G Ramsay,Ent A
Hylaeus agilis,TK,Mt Egmont Summit,m,19/01/55,8000' in snowdrift,G Ramsay,Ent A
Hylaeus agilis,FD,Martins Bay,f,06/11/55,,,CM
Hylaeus agilis,,,f,18/02/56,,,FRI
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,NN,Takaka Hill,f,19/02/57,"2000', 600m",ES Gourlay,Ent A
Hylaeus agilis,SL,Greenhills Bluff,f,17/01/59,,ES Gourlay,Ent A
Hylaeus agilis,TK,Egmont Nat Park,f,10/11/59,#7,HA Stoodley,FRI
Hylaeus agilis,MC,"Christchurch City, Dyer's Pass",m,01/12/59,,JI Townsend,Ent A
Hylaeus agilis,SL,"Southland Co, Pukerau",m,01/12/59,P. radiata compt. 21 #8,RF Cormack,FRI
Hylaeus agilis,WD,"Otira, Barrock Creek",m,Dec-59,1500' 450m #5,JS Dugdale,FRI
Hylaeus agilis,NN,Golden Bay,f,23/12/59,,MN Watt,NM
Hylaeus agilis,MC,K_whai Bush,m,14/01/60,,CW O'Brien,BM
Hylaeus agilis,SL,"Southland Co, Pebbly Hills",f,28/01/60,"Compartment 10a, Pc taxifolia #26",RF Cormack,FRI
Hylaeus agilis,WN,"Wellington, Wiltons Bush",f,27/03/60,,CW O'Brien,
Hylaeus agilis,WN,"Wellington, Wiltons Bush",f,27/03/60,,CW O'Brien,
